English, Icelandic
spike,gaddur
hard frost,gaddur
pouch,tuðra
ivory,fílabein
tempt,lokka
allure,lokka
entice,lokka
lock of hair,lokka
curl,lokka
condom,smokkur
squid,smokkur
pipeline,leiðsla
trance,leiðsla
ecstasy,leiðsla
distraction,leiðsla
mush,mauk
purée,mauk
splinter,flís
chip,flís
tile,flís
crochet,hekla
clearing,rjóður
glade,rjóður
ruddy,rjóður
rosy-cheeked,rjóður
flushed,rjóður
fall,hrynja
collapse,hrynja
cave in,hrynja
die like flies,hrynja
cultivate,græða
profit,græða
heal,græða
grind,mala
mill,mala
crush,mala
chatter,mala
jabber,mala
purr,mala
tail,skotta
trunk,skotta
boot,skotta
little girl,skotta
female ghost,skotta
style,stíll
composition,stíll
class essay,stíll
type,stíll
in a big way,stíll
jog,skokk
jogging,skokk
